time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
163,209,106,169,1016.55,525.0,43.700344,40.269035,9.069,35,19,209,169,57,378
164,147,105,170,1025.55,525.0,43.700424,40.26906,9.051,35,13,147,170,47,380
165,226,104,167,1034.57,525.0,43.7005,40.26908,9.004,35,21,226,167,44,763
166,0,104,168,1043.67,525.0,43.70058,40.269104,9.069,35,0,0,168,44,381
167,0,0,168,1052.62,525.2,43.70066,40.26913,8.715,35,0,0,168,,385
168,0,0,168,1061.41,525.2,43.700737,40.269154,8.752,35,0,0,168,,387
169,78,54,168,1070.22,525.0,43.700817,40.269176,8.762,35,14,78,168,48,389
170,168,98,168,1079.02,525.0,43.700893,40.2692,8.631,35,16,168,168,41,394
171,189,99,168,1087.72,525.2,43.70097,40.269226,8.547,35,18,189,168,41,399
172,108,98,168,1096.37,525.2,43.701046,40.269245,8.5,35,11,108,168,40,401
173,97,95,168,1104.88,525.2,43.70112,40.269268,8.323,35,10,97,168,37,407
174,251,95,168,1113.27,525.2,43.701195,40.26929,8.276,35,25,251,168,41,408
175,286,97,168,1121.64,525.4,43.701267,40.269314,8.183,35,28,286,168,53,409
176,226,102,168,1130.17,525.6,43.701344,40.269337,8.622,35,21,226,168,55,406
177,116,97,168,1138.81,525.6,43.701416,40.269367,8.435,34,11,116,168,42,414
178,252,98,168,1147.15,525.6,43.70149,40.26939,8.332,34,25,252,168,47,412
179,219,100,167,1156.06,525.8,43.70157,40.26942,9.331,34,21,219,167,49,413
180,264,99,167,1164.99,525.8,43.701645,40.26945,8.734,34,25,264,167,43,413
181,263,100,167,1173.58,525.8,43.701717,40.269478,8.538,34,25,263,167,43,412
182,240,104,167,1182.36,525.8,43.701797,40.269505,8.883,34,22,240,167,48,408
183,135,102,167,1191.2,526.0,43.701874,40.26953,8.752,34,13,135,167,54,409
184,70,101,168,1199.89,526.0,43.70195,40.269558,8.594,34,7,70,168,50,405
185,63,93,168,1208.52,526.0,43.702023,40.26959,8.547,34,6,63,168,0,408
186,236,98,168,1216.92,526.0,43.7021,40.26961,8.342,34,23,236,168,39,406
187,35,98,168,1225.2,526.2,43.702168,40.269638,8.239,34,3,35,168,50,406
188,35,29,168,1233.52,526.2,43.70224,40.269665,8.164,34,12,35,168,36,405
189,32,91,168,1241.8,526.4,43.702312,40.26969,8.202,34,3,32,168,0,408
190,182,91,167,1249.74,526.6,43.70238,40.26972,7.782,34,19,182,167,0,405
191,182,92,167,1257.64,526.8,43.70245,40.269745,7.922,34,19,182,167,27,407
192,140,92,166,1265.68,527.0,43.70252,40.269775,7.95,34,15,140,166,46,407
193,232,92,166,1273.67,527.0,43.702587,40.269802,7.884,34,24,232,166,46,406
194,338,92,166,1281.7,527.4,43.70266,40.269825,8.052,34,35,338,166,46,817
195,330,98,165,1289.94,527.4,43.70273,40.26986,8.276,34,32,330,165,45,408
196,230,100,165,1298.14,527.6,43.7028,40.26989,8.286,34,22,230,165,56,410
197,173,97,165,1306.38,527.8,43.70287,40.269924,8.146,34,17,173,165,39,410
198,302,102,166,1315.13,528.0,43.70294,40.269966,8.855,34,28,302,166,47,412
199,171,100,166,1323.75,528.2,43.70301,40.27001,8.426,34,16,171,166,47,412
200,256,98,166,1332.29,528.6,43.703083,40.270058,8.5,34,25,256,166,39,411
201,160,99,166,1340.66,528.8,43.703148,40.270107,8.323,34,15,160,166,59,414
202,270,99,167,1347.24,529.0,43.703217,40.27011,8.23,34,26,270,167,41,411
203,300,102,167,1354.44,529.2,43.70328,40.27013,8.594,34,28,300,167,52,410
204,258,102,167,1362.98,529.6,43.70335,40.270176,8.901,34,24,258,167,55,413
205,254,103,167,1371.98,529.8,43.70342,40.27024,8.957,34,24,254,167,55,410
206,276,105,167,1380.95,529.8,43.703484,40.270306,8.985,34,25,276,167,49,410
207,111,105,168,1390.55,530.0,43.70355,40.270382,8.957,34,10,111,168,49,409
208,111,105,168,1399.99,530.0,43.703617,40.27045,8.715,34,10,111,168,49,406
209,111,56,168,1409.31,530.4,43.703682,40.270527,8.957,34,19,111,168,39,406
210,129,56,168,1418.68,530.6,43.70375,40.2706,8.976,34,22,129,168,39,406
211,129,56,167,1427.87,530.8,43.70381,40.27067,8.696,34,22,129,167,39,405
212,129,66,167,1437.1,531.0,43.703873,40.27075,9.097,34,19,129,167,49,405
213,170,90,168,1446.18,531.2,43.703934,40.27083,8.78,34,18,170,168,45,405
214,232,95,168,1455.28,531.4,43.703995,40.270905,8.995,34,23,232,168,45,404
215,281,94,168,1464.49,531.6,43.704052,40.270985,8.939,34,29,281,168,45,402
216,191,94,168,1473.62,531.6,43.70411,40.271065,9.06,34,19,191,168,53,403
217,161,97,168,1483.0,532.0,43.704174,40.27114,9.265,34,16,161,168,41,405
218,149,97,169,1492.47,532.4,43.70424,40.271217,9.116,34,15,149,169,31,405
219,149,93,169,1501.63,532.8,43.7043,40.271294,8.967,34,15,149,169,49,403
220,58,96,169,1510.63,532.8,43.704357,40.27137,8.901,34,6,58,169,50,404
221,207,87,169,1519.68,533.0,43.704422,40.271442,8.836,34,23,207,169,20,402
222,366,94,169,1528.54,533.0,43.70448,40.271515,8.696,34,37,366,169,45,405
